Origem,Saida,Chegada,Destino,Periodo,Frequencia
Confins,06:00,07:05,Galeão,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Confins,09:20,10:25,Galeão,01/maio - 31/maio,Sexta
Confins,16:20,17:20,Galeão,01/maio - 31/maio,Domingo
Confins,19:30,20:35,Galeão,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Confins,20:45,21:50,Galeão,01/maio - 31/maio,Sexta Domingo
Confins,23:10,00:15,Galeão,01/maio - 31/maio,Domingo
Confins,06:05,07:25,Guarulhos,01/maio - 31/maio,Quarta Sábado Domingo
Confins,06:20,07:40,Guarulhos,01/maio - 31/maio,Segunda Terça Quinta Sexta
Confins,11:00,12:20,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Confins,15:25,16:45,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo
Confins,16:25,17:45,Guarulhos,01/maio - 31/maio,Sexta
Confins,18:55,20:10,Guarulhos,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Confins,10:35,12:20,Salvador,01/maio - 31/maio,Sexta Sábado
Confins,11:50,13:35,Salvador,01/maio - 31/maio,Domingo
Confins,15:25,17:10,Salvador,01/maio - 31/maio,Segunda Quinta Sábado
Córdova,02:15,05:20,Galeão,01/maio - 31/maio,Domingo
Córdova,04:15,07:00,Guarulhos,01/maio - 31/maio,Terça Quinta Sábado
Córdova,00:55,06:10,Recife,01/maio - 31/maio,Domingo
Campina Grande,03:10,04:35,Salvador,01/maio - 31/maio,Segunda Terça Sexta Sábado
Curitiba,00:15,01:40,Galeão,01/maio - 31/maio,Segunda Quinta
Curitiba,05:25,06:50,Galeão,01/maio - 31/maio,Domingo
Curitiba,05:55,07:10,Galeão,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Curitiba,10:00,11:25,Galeão,01/maio - 31/maio,Sexta Domingo
Curitiba,10:35,12:00,Galeão,01/maio - 31/maio,Sábado
Curitiba,14:00,15:25,Galeão,01/maio - 31/maio,Domingo
Curitiba,14:30,15:55,Galeão,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Curitiba,19:05,20:30,Galeão,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Curitiba,06:00,07:15,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo
Curitiba,11:15,12:20,Guarulhos,01/maio - 31/maio,Domingo
Curitiba,11:35,12:40,Guarulhos,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Curitiba,14:50,15:55,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo
Curitiba,18:40,19:55,Guarulhos,01/maio - 31/maio,Domingo
Curitiba,19:15,20:25,Guarulhos,01/maio - 31/maio,Sexta
Curitiba,22:50,23:55,Maringá,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Curitiba,11:00,13:50,Salvador,01/maio - 31/maio,Sábado
Caxias do Sul,16:10,18:15,Galeão,01/maio - 31/maio,Terça Sábado
Cruzeiro do Sul,12:35,13:50,Rio Branco,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Ezeiza,05:00,07:00,Florianópolis,01/maio - 31/maio,Segunda Sexta
Ezeiza,09:40,11:45,Florianópolis,01/maio - 31/maio,Domingo
Ezeiza,22:30,00:40,Florianópolis,01/maio - 31/maio,Domingo
Ezeiza,02:00,07:45,Fortaleza,01/maio - 31/maio,Domingo
Ezeiza,12:15,15:15,Galeão,01/maio - 31/maio,Sexta Sábado Domingo
Ezeiza,13:30,16:30,Galeão,01/maio - 31/maio,Domingo
Ezeiza,19:00,23:50,Maceió,01/maio - 31/maio,Sábado
Fernando de Noronha,15:30,18:50,Guarulhos,01/maio - 31/maio,Terça Quinta Domingo
Fernando de Noronha,14:25,14:35,Recife,01/maio - 31/maio,Domingo
Florianópolis,05:25,06:55,Galeão,01/maio - 31/maio,Domingo
Florianópolis,06:00,07:30,Galeão,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Florianópolis,10:00,11:30,Galeão,01/maio - 31/maio,Sexta Sábado
Florianópolis,12:40,14:05,Galeão,01/maio - 31/maio,Domingo
Florianópolis,14:45,16:15,Galeão,01/maio - 31/maio,Sexta Sábado Domingo
Florianópolis,16:40,18:10,Galeão,01/maio - 31/maio,Terça Sexta Sábado Domingo
Florianópolis,19:10,20:40,Galeão,01/maio - 31/maio,Sexta Domingo
Florianópolis,23:55,01:25,Galeão,01/maio - 31/maio,Domingo
Florianópolis,06:00,07:30,Guarulhos,01/maio - 31/maio,Sexta Domingo
Florianópolis,06:10,07:40,Guarulhos,01/maio - 31/maio,Sábado
Florianópolis,11:00,12:25,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo
Florianópolis,15:15,16:35,Guarulhos,01/maio - 31/maio,Terça Quarta Quinta Sexta
Florianópolis,15:30,16:50,Guarulhos,01/maio - 31/maio,Segunda Sábado Domingo
Florianópolis,19:10,20:25,Guarulhos,01/maio - 31/maio,Domingo
Florianópolis,19:35,20:55,Guarulhos,01/maio - 31/maio,Segunda
Florianópolis,21:40,22:45,Porto Alegre,01/maio - 31/maio,Sexta
Fortaleza,02:10,05:30,Galeão,01/maio - 31/maio,Segunda Terça Sexta
Fortaleza,08:35,11:55,Galeão,01/maio - 31/maio,Domingo
Fortaleza,11:30,14:50,Galeão,01/maio - 31/maio,Sexta
Fortaleza,13:35,16:55,Galeão,01/maio - 31/maio,Sábado
Fortaleza,16:00,19:20,Galeão,01/maio - 31/maio,Sábado
Fortaleza,17:00,20:20,Galeão,01/maio - 31/maio,Terça Domingo
Fortaleza,19:25,22:45,Galeão,01/maio - 31/maio,Sexta Domingo
Fortaleza,20:00,23:20,Galeão,01/maio - 31/maio,Quarta
Fortaleza,03:10,06:55,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo
Fortaleza,12:30,16:05,Guarulhos,01/maio - 31/maio,Terça Quarta Quinta Sexta Sábado
Fortaleza,12:50,16:25,Guarulhos,01/maio - 31/maio,Domingo
Fortaleza,18:15,22:00,Guarulhos,01/maio - 31/maio,Sexta Domingo
Fortaleza,04:30,11:45,Orlando,01/maio - 31/maio,Quinta
Fortaleza,01:25,08:15,Miami,01/maio - 31/maio,Quarta Sábado
Fortaleza,12:05,13:55,Salvador,01/maio - 31/maio,Sexta Sábado Domingo
Santo Angelo,19:35,21:35,Guarulhos,01/maio - 31/maio,Terça Quinta Sábado
Galeão,01:00,02:05,Guarulhos,01/maio - 31/maio,Segunda
Galeão,05:55,07:00,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo
Galeão,06:40,07:50,Guarulhos,01/maio - 31/maio,Sábado
Galeão,10:50,12:00,Guarulhos,01/maio - 31/maio,Domingo
Galeão,11:20,12:30,Guarulhos,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Galeão,15:55,17:05,Guarulhos,01/maio - 31/maio,Sexta Domingo
Galeão,17:00,18:10,Guarulhos,01/maio - 31/maio,Segunda Quarta Sexta Sábado
Galeão,19:15,20:25,Guarulhos,01/maio - 31/maio,Sábado
Galeão,19:50,21:00,Guarulhos,01/maio - 31/maio,Domingo
Galeão,20:05,21:15,Guarulhos,01/maio - 31/maio,Sexta Segunda Terça Quarta Quinta
Galeão,20:55,22:05,Guarulhos,01/maio - 31/maio,Sexta
Galeão,21:40,22:55,Guarulhos,01/maio - 31/maio,Domingo
Galeão,00:35,02:20,Goiânia,01/maio - 31/maio,Quinta
Galeão,02:20,04:10,Goiânia,01/maio - 31/maio,Quinta
Galeão,04:15,06:05,Goiânia,01/maio - 31/maio,Domingo
Galeão,11:45,13:35,Goiânia,01/maio - 31/maio,Domingo
Galeão,15:50,17:35,Goiânia,01/maio - 31/maio,Sexta
Galeão,23:05,00:50,Goiânia,01/maio - 31/maio,Domingo
Galeão,23:45,01:30,Goiânia,01/maio - 31/maio,Sexta Segunda Terça Quarta Quinta
Galeão,07:25,09:40,Foz do Iguaçu,01/maio - 31/maio,Sexta Domingo
Galeão,07:45,10:00,Foz do Iguaçu,01/maio - 31/maio,Sábado
Galeão,21:35,23:55,Foz do Iguaçu,01/maio - 31/maio,Sexta Domingo Segunda Terça Quinta Sexta
Galeão,07:40,10:40,João Pessoa,01/maio - 31/maio,Sábado Domingo Segunda Terça Quarta Quinta
Galeão,23:35,02:35,João Pessoa,01/maio - 31/maio,Sexta Domingo Segunda Terça Quinta Sexta
Galeão,21:50,01:00,Manaus,01/maio - 31/maio,Domingo Segunda Terça Quarta Quinta
Galeão,07:45,10:20,Maceió,01/maio - 31/maio,Sexta Sábado Domingo
Galeão,13:45,16:25,Maceió,01/maio - 31/maio,Sábado
Galeão,14:35,17:15,Maceió,01/maio - 31/maio,Sexta Domingo
Galeão,14:50,18:05,Montevidéu,01/maio - 31/maio,Sábado
Galeão,22:25,01:40,Montevidéu,01/maio - 31/maio,Terça Quinta Domingo
Galeão,07:45,10:50,Natal,01/maio - 31/maio,Sábado Segunda Terça Quarta Quinta
Galeão,23:30,02:35,Natal,01/maio - 31/maio,Sexta Sábado Domingo
Galeão,23:45,02:50,Natal,01/maio - 31/maio,Domingo
Galeão,07:30,09:05,Navegantes,01/maio - 31/maio,Domingo
Galeão,08:00,09:35,Navegantes,01/maio - 31/maio,Sexta Sábado
Galeão,17:00,18:35,Navegantes,01/maio - 31/maio,Domingo
Galeão,19:15,20:50,Navegantes,01/maio - 31/maio,Sexta
Galeão,04:00,06:10,Porto Alegre,01/maio - 31/maio,Quinta
Galeão,04:50,07:00,Porto Alegre,01/maio - 31/maio,Segunda Domingo
Galeão,06:00,08:05,Porto Alegre,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Galeão,07:40,09:45,Porto Alegre,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Galeão,11:20,13:25,Porto Alegre,01/maio - 31/maio,Sexta Domingo
Galeão,14:20,16:25,Porto Alegre,01/maio - 31/maio,Sábado
Galeão,14:40,16:45,Porto Alegre,01/maio - 31/maio,Segunda Terça Sexta Domingo
Galeão,17:20,19:30,Porto Alegre,01/maio - 31/maio,Domingo
Galeão,18:15,20:25,Porto Alegre,01/maio - 31/maio,Segunda Quinta Sexta
Galeão,19:35,21:45,Porto Alegre,01/maio - 31/maio,Terça
Galeão,19:55,22:05,Porto Alegre,01/maio - 31/maio,Quarta
Galeão,22:25,00:40,Porto Alegre,01/maio - 31/maio,Terça Domingo
Galeão,22:55,01:10,Porto Alegre,01/maio - 31/maio,Sexta
Galeão,23:15,01:30,Porto Alegre,01/maio - 31/maio,Terça Sexta
Galeão,23:35,01:50,Porto Alegre,01/maio - 31/maio,Segunda Quarta Quinta Sexta
Galeão,02:20,05:10,Recife,01/maio - 31/maio,Quinta
Galeão,02:40,05:30,Recife,01/maio - 31/maio,Segunda Domingo
Galeão,07:25,10:15,Recife,01/maio - 31/maio,Domingo
Galeão,08:35,11:25,Recife,01/maio - 31/maio,Segunda Quarta Sexta Sábado
Galeão,08:50,11:40,Recife,01/maio - 31/maio,Terça Quinta
Galeão,10:30,13:20,Recife,01/maio - 31/maio,Terça Quinta
Galeão,13:40,16:30,Recife,01/maio - 31/maio,Sexta Sábado
Galeão,13:55,16:45,Recife,01/maio - 31/maio,Domingo
Galeão,19:10,22:05,Recife,01/maio - 31/maio,Domingo
Galeão,23:30,02:25,Recife,01/maio - 31/maio,Quinta Sexta Domingo
Galeão,23:30,02:25,Recife,01/maio - 31/maio,Sexta
Galeão,22:30,02:05,Rosário,01/maio - 31/maio,Terça Quinta Sábado
Galeão,21:40,22:45,São José dos Campos,01/maio - 31/maio,Quarta Sexta Domingo
Galeão,00:40,02:55,Salvador,01/maio - 31/maio,Segunda
Galeão,03:00,05:05,Salvador,01/maio - 31/maio,Quinta
Galeão,08:10,10:15,Salvador,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Galeão,11:45,13:55,Salvador,01/maio - 31/maio,Sexta
Galeão,12:05,14:15,Salvador,01/maio - 31/maio,Domingo
Galeão,14:10,16:20,Salvador,01/maio - 31/maio,Segunda Terça Sexta
Galeão,14:35,16:45,Salvador,01/maio - 31/maio,Quarta Quinta Sábado Domingo
Galeão,15:40,17:50,Salvador,01/maio - 31/maio,Segunda Quinta
Galeão,16:10,18:20,Salvador,01/maio - 31/maio,Domingo
Galeão,16:30,18:40,Salvador,01/maio - 31/maio,Segunda Quinta
Galeão,21:00,23:10,Salvador,01/maio - 31/maio,Terça Quarta Sexta Domingo
Galeão,23:15,01:25,Salvador,01/maio - 31/maio,Sexta Domingo
Galeão,03:20,04:40,Viracopos,01/maio - 31/maio,Domingo
Galeão,07:45,09:05,Viracopos,01/maio - 31/maio,Sexta Sábado Domingo
Galeão,17:05,18:25,Viracopos,01/maio - 31/maio,Segunda Quarta Quinta Sexta
Galeão,17:45,19:05,Viracopos,01/maio - 31/maio,Terça
Galeão,18:05,19:25,Viracopos,01/maio - 31/maio,Domingo
Galeão,01:00,02:10,Vitória,01/maio - 31/maio,Segunda
Galeão,03:00,04:10,Vitória,01/maio - 31/maio,Quinta
Galeão,05:00,06:10,Vitória,01/maio - 31/maio,Domingo
Galeão,06:50,08:00,Vitória,01/maio - 31/maio,Sexta Domingo
Galeão,07:35,08:50,Vitória,01/maio - 31/maio,Sábado
Galeão,08:00,09:10,Vitória,01/maio - 31/maio,Sábado
Galeão,10:30,11:40,Vitória,01/maio - 31/maio,Domingo
Galeão,10:50,12:00,Vitória,01/maio - 31/maio,Sexta Segunda Quarta Quinta Sexta
Galeão,13:15,14:25,Vitória,01/maio - 31/maio,Domingo
Galeão,13:45,14:55,Vitória,01/maio - 31/maio,Sábado
Galeão,17:30,18:40,Vitória,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Galeão,19:45,20:55,Vitória,01/maio - 31/maio,Sexta
Galeão,19:45,20:55,Vitória,01/maio - 31/maio,Domingo
Galeão,21:35,22:45,Vitória,01/maio - 31/maio,Sexta Domingo
Guarulhos,18:25,21:30,Ezeiza,01/maio - 31/maio,Domingo
Guarulhos,09:00,10:40,Goiânia,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Guarulhos,17:50,19:30,Goiânia,01/maio - 31/maio,Sexta Sábado Domingo
Guarulhos,18:45,20:25,Goiânia,01/maio - 31/maio,Sexta
Guarulhos,23:15,00:55,Goiânia,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Guarulhos,08:55,10:45,Foz do Iguaçu,01/maio - 31/maio,Sexta Sábado Domingo
Guarulhos,17:15,19:05,Foz do Iguaçu,01/maio - 31/maio,Sexta Sábado
Guarulhos,17:40,19:30,Foz do Iguaçu,01/maio - 31/maio,Domingo
Guarulhos,18:00,19:45,Foz do Iguaçu,01/maio - 31/maio,Segunda
Guarulhos,22:15,00:05,Foz do Iguaçu,01/maio - 31/maio,Sexta Domingo
Guarulhos,09:30,11:35,Ilhéus,01/maio - 31/maio,Sábado
Guarulhos,15:45,17:50,Ilhéus,01/maio - 31/maio,Sexta Domingo
Guarulhos,09:05,12:00,Juazeiro do Norte,01/maio - 31/maio,Sábado
Guarulhos,09:05,12:00,Juazeiro do Norte,01/maio - 31/maio,Quarta
Guarulhos,15:50,18:40,Juazeiro do Norte,01/maio - 31/maio,Sexta
Guarulhos,16:20,19:15,Juazeiro do Norte,01/maio - 31/maio,Sábado
Guarulhos,21:40,00:35,Juazeiro do Norte,01/maio - 31/maio,Sexta Sábado Domingo
Guarulhos,08:40,12:05,Jericoacoara,01/maio - 31/maio,Segunda Quarta Sábado
Guarulhos,13:35,17:00,João Pessoa,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Guarulhos,22:15,01:35,João Pessoa,01/maio - 31/maio,Sexta
Guarulhos,22:35,01:55,João Pessoa,01/maio - 31/maio,Domingo
Guarulhos,09:15,12:20,Manaus,01/maio - 31/maio,Quarta Quinta Sexta Domingo
Guarulhos,09:55,13:00,Manaus,01/maio - 31/maio,Segunda Terça Sábado
Guarulhos,22:00,00:55,Manaus,01/maio - 31/maio,Sexta Domingo
Guarulhos,06:50,09:45,Maceió,01/maio - 31/maio,Segunda Terça Quinta
Guarulhos,07:40,10:35,Maceió,01/maio - 31/maio,Quarta
Guarulhos,07:55,10:50,Maceió,01/maio - 31/maio,Sexta
Guarulhos,09:20,12:15,Maceió,01/maio - 31/maio,Sábado Domingo
Guarulhos,13:15,16:15,Maceió,01/maio - 31/maio,Sexta Domingo
Guarulhos,15:10,18:10,Maceió,01/maio - 31/maio,Sexta
Guarulhos,15:30,18:30,Maceió,01/maio - 31/maio,Sexta
Guarulhos,16:05,19:05,Maceió,01/maio - 31/maio,Sábado
Guarulhos,21:10,00:15,Maceió,01/maio - 31/maio,Segunda Terça Sexta
Guarulhos,22:10,01:15,Maceió,01/maio - 31/maio,Domingo
Guarulhos,23:30,02:35,Maceió,01/maio - 31/maio,Quinta
Guarulhos,23:35,02:40,Maceió,01/maio - 31/maio,Quarta
Guarulhos,09:35,13:30,Mendoza,01/maio - 31/maio,Terça Quinta Sexta Domingo
Guarulhos,21:20,22:50,Maringá,01/maio - 31/maio,Sexta Domingo
Guarulhos,21:50,23:20,Maringá,01/maio - 31/maio,Sábado
Guarulhos,09:20,12:05,Montevidéu,01/maio - 31/maio,Sexta Sábado Domingo Segunda Quarta Quinta Sexta
Guarulhos,08:40,12:05,Natal,01/maio - 31/maio,Sábado Domingo Segunda Terça Quarta Quinta
Guarulhos,14:05,17:35,Natal,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Guarulhos,22:10,01:35,Natal,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Guarulhos,09:15,10:25,Navegantes,01/maio - 31/maio,Sexta Sábado Domingo
Guarulhos,14:15,15:30,Navegantes,01/maio - 31/maio,Domingo
Guarulhos,17:10,18:25,Navegantes,01/maio - 31/maio,Sexta Sábado Domingo
Guarulhos,21:45,23:00,Navegantes,01/maio - 31/maio,Domingo
Guarulhos,21:50,23:05,Navegantes,01/maio - 31/maio,Sexta Segunda Terça Quarta Quinta
Guarulhos,09:25,11:10,Sinop,01/maio - 31/maio,Sexta Sábado Domingo
Guarulhos,16:55,19:05,Pelotas,01/maio - 31/maio,Segunda Quarta Sexta
Guarulhos,08:45,10:35,Passo Fundo,01/maio - 31/maio,Terça Quinta Sábado
Guarulhos,21:35,00:15,Petrolina,01/maio - 31/maio,Sexta
Guarulhos,23:05,01:45,Petrolina,01/maio - 31/maio,Domingo
Guarulhos,08:40,10:25,Porto Alegre,01/maio - 31/maio,Sexta Sábado Domingo
Guarulhos,13:55,15:40,Porto Alegre,01/maio - 31/maio,Sábado
Guarulhos,14:30,16:15,Porto Alegre,01/maio - 31/maio,Sexta Domingo
Guarulhos,16:05,17:50,Porto Alegre,01/maio - 31/maio,Segunda Terça Quarta Sexta
Guarulhos,16:50,18:35,Porto Alegre,01/maio - 31/maio,Sábado
Guarulhos,17:40,19:20,Porto Alegre,01/maio - 31/maio,Domingo
Guarulhos,18:05,19:45,Porto Alegre,01/maio - 31/maio,Quinta
Guarulhos,19:50,21:35,Porto Alegre,01/maio - 31/maio,Sexta
Guarulhos,22:45,00:30,Porto Alegre,01/maio - 31/maio,Sexta Domingo
Guarulhos,15:35,21:50,Punta Cana,01/maio - 31/maio,Segunda Quarta Sábado
Guarulhos,06:55,10:00,Recife,01/maio - 31/maio,Domingo
Guarulhos,08:40,11:55,Recife,01/maio - 31/maio,Segunda Terça Quinta Sexta
Guarulhos,08:55,12:00,Recife,01/maio - 31/maio,Sábado
Guarulhos,13:40,16:55,Recife,01/maio - 31/maio,Sexta
Guarulhos,13:55,17:10,Recife,01/maio - 31/maio,Sábado Domingo
Guarulhos,22:45,01:55,Recife,01/maio - 31/maio,Domingo
Guarulhos,23:00,02:10,Recife,01/maio - 31/maio,Sexta
Guarulhos,14:40,19:10,San Jose,01/maio - 31/maio,Terça Quinta Sábado
Guarulhos,17:20,20:50,São Luís,01/maio - 31/maio,Sábado
Guarulhos,22:45,02:15,São Luís,01/maio - 31/maio,Sexta
Guarulhos,23:00,02:30,São Luís,01/maio - 31/maio,Quinta Sexta Domingo
Guarulhos,09:20,11:40,Salvador,01/maio - 31/maio,Sábado Domingo Segunda Terça Quarta Quinta
Guarulhos,13:45,16:10,Salvador,01/maio - 31/maio,Sexta
Guarulhos,14:40,17:05,Salvador,01/maio - 31/maio,Domingo
Guarulhos,15:45,18:10,Salvador,01/maio - 31/maio,Sábado
Guarulhos,22:10,00:35,Salvador,01/maio - 31/maio,Sexta Domingo
Guarulhos,00:15,03:25,Teresina,01/maio - 31/maio,Terça Quarta Quinta Sexta Sábado
Guarulhos,21:50,01:00,Teresina,01/maio - 31/maio,Domingo
Guarulhos,22:30,01:35,Teresina,01/maio - 31/maio,Domingo
Guarulhos,21:40,23:40,Vitória da Conquista,01/maio - 31/maio,Sexta Domingo
Guarulhos,00:05,01:35,Vitória,01/maio - 31/maio,Quinta
Guarulhos,08:50,10:25,Vitória,01/maio - 31/maio,Sábado Domingo
Guarulhos,09:20,10:55,Vitória,01/maio - 31/maio,Sexta Segunda Terça Quarta Quinta
Guarulhos,16:45,18:10,Vitória,01/maio - 31/maio,Sexta Domingo Segunda Terça Quinta Sexta
Guarulhos,23:35,01:10,Vitória,01/maio - 31/maio,Domingo Segunda Terça Quinta Sexta Domingo Segunda Terça Quarta Quinta
Guarulhos,16:40,18:15,Chapecó,01/maio - 31/maio,Sexta Domingo
Guarulhos,19:30,21:05,Chapecó,01/maio - 31/maio,Terça Quinta Sábado Domingo
Goiânia,00:05,02:10,Salvador,01/maio - 31/maio,Segunda
Goiânia,02:35,04:40,Salvador,01/maio - 31/maio,Quinta
Goiânia,11:30,13:35,Salvador,01/maio - 31/maio,Sexta Sábado Domingo
João Pessoa,03:05,08:45,Ezeiza,01/maio - 31/maio,Domingo
João Pessoa,12:05,13:50,Salvador,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Manaus,01:30,02:55,Porto Velho,01/maio - 31/maio,Sexta Sábado
Manaus,00:05,01:05,Rio Branco,01/maio - 31/maio,Quarta Sexta Domingo
Manaus,11:45,13:55,Santarém,01/maio - 31/maio,Sexta Domingo
Maceió,01:10,02:05,João Pessoa,01/maio - 31/maio,Domingo
Maceió,12:30,13:40,Salvador,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Natal,12:10,13:50,Salvador,01/maio - 31/maio,Sexta Sábado Domingo
Porto Alegre,10:40,13:55,Salvador,01/maio - 31/maio,Sábado
Recife,04:45,06:10,Salvador,01/maio - 31/maio,Segunda Terça Sexta Domingo
Recife,12:30,13:55,Salvador,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
São Luís,11:40,13:55,Salvador,01/maio - 31/maio,Sexta Sábado Domingo
Salvador,05:10,07:45,Viracopos,01/maio - 31/maio,Domingo
Salvador,14:40,17:15,Viracopos,01/maio - 31/maio,Sexta Sábado Domingo
Salvador,01:40,03:20,Vitória,01/maio - 31/maio,Segunda
Salvador,14:45,16:25,Vitória,01/maio - 31/maio,Sábado
Salvador,14:50,16:30,Vitória,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,09:20,13:00,Aeroparque,01/maio - 31/maio,Sexta Sábado
Confins,09:55,13:20,Aeroparque,01/maio - 31/maio,Quarta
Confins,12:10,15:30,Aeroparque,01/maio - 31/maio,Sábado
Florianópolis,05:40,08:00,Aeroparque,01/maio - 31/maio,Segunda Quinta
Florianópolis,05:40,08:00,Aeroparque,01/maio - 31/maio,Terça Quinta Sábado
Florianópolis,05:45,08:00,Aeroparque,01/maio - 31/maio,Sábado
Florianópolis,06:10,08:30,Aeroparque,01/maio - 31/maio,Domingo
Florianópolis,17:10,19:30,Aeroparque,01/maio - 31/maio,Sexta Sábado Domingo
Fortaleza,12:55,18:40,Aeroparque,01/maio - 31/maio,Sábado
Galeão,10:50,14:20,Aeroparque,01/maio - 31/maio,Sexta Sábado Domingo
Galeão,19:50,23:20,Aeroparque,01/maio - 31/maio,Quarta
Galeão,22:10,01:40,Aeroparque,01/maio - 31/maio,Domingo Segunda Terça Quarta Quinta
Guarulhos,06:15,09:20,Aeroparque,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Guarulhos,09:35,12:40,Aeroparque,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Guarulhos,14:15,17:20,Aeroparque,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Guarulhos,17:55,21:00,Aeroparque,01/maio - 31/maio,Sexta Sábado Terça Quinta Sexta Sábado
Guarulhos,23:10,02:20,Aeroparque,01/maio - 31/maio,Domingo
Natal,17:50,23:20,Aeroparque,01/maio - 31/maio,Sábado
Porto Alegre,06:10,08:00,Aeroparque,01/maio - 31/maio,Terça Quinta Sábado
Recife,02:40,08:00,Aeroparque,01/maio - 31/maio,Quarta
Recife,12:20,17:40,Aeroparque,01/maio - 31/maio,Sábado
Salvador,03:25,08:00,Aeroparque,01/maio - 31/maio,Sexta Domingo
Salvador,15:05,20:00,Aeroparque,01/maio - 31/maio,Sábado
Congonhas,08:40,11:20,Aracaju,01/maio - 31/maio,Sábado
Galeão,09:35,11:55,Aracaju,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Guarulhos,16:05,18:40,Aracaju,01/maio - 31/maio,Domingo
Guarulhos,17:40,20:20,Aracaju,01/maio - 31/maio,Sábado
Guarulhos,22:50,01:30,Aracaju,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Salvador,15:10,15:55,Aracaju,01/maio - 31/maio,Sexta Sábado Domingo
Congonhas,11:35,12:45,Araçatuba,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Guarulhos,09:25,11:40,Assunção,01/maio - 31/maio,Sexta Domingo
Guarulhos,16:00,21:30,Aruba,01/maio - 31/maio,Sábado
Brasília,08:55,11:25,Belém,01/maio - 31/maio,Sábado
Brasília,09:15,11:55,Belém,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,21:15,23:45,Belém,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Galeão,22:15,01:55,Belém,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Guarulhos,22:40,02:20,Belém,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Macapá,15:05,16:05,Belém,01/maio - 31/maio,Sexta Domingo
Paramaribo,15:55,17:45,Belém,01/maio - 31/maio,Sábado
Santarém,02:55,04:15,Belém,01/maio - 31/maio,Sexta Sábado Domingo
Brasília,08:50,12:19,Bogotá,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Manaus,19:45,21:35,Bogotá,01/maio - 31/maio,Quarta Domingo
Congonhas,10:10,12:15,Porto Seguro,01/maio - 31/maio,Sexta Sábado Domingo
Congonhas,14:30,16:25,Porto Seguro,01/maio - 31/maio,Domingo
Congonhas,14:50,16:50,Porto Seguro,01/maio - 31/maio,Sexta
Congonhas,15:10,17:15,Porto Seguro,01/maio - 31/maio,Sexta
Congonhas,19:35,21:30,Porto Seguro,01/maio - 31/maio,Sábado
Confins,06:40,08:00,Porto Seguro,01/maio - 31/maio,Domingo
Confins,12:25,13:50,Porto Seguro,01/maio - 31/maio,Sexta Sábado
Confins,19:25,20:45,Porto Seguro,01/maio - 31/maio,Sábado
Confins,20:55,22:15,Porto Seguro,01/maio - 31/maio,Domingo
