Origem,Saida,Chegada,Destino,Periodo,Frequencia
Brasília,08:35,09:55,Confins,01/maio - 31/maio,Sexta Sábado
Brasília,09:20,10:40,Confins,01/maio - 31/maio,Domingo
Brasília,20:55,22:20,Confins,01/maio - 31/maio,Sexta Domingo
Brasília,09:55,16:00,Cancun,01/maio - 31/maio,Terça Sábado
Brasília,08:30,10:25,Curitiba,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,21:15,23:15,Curitiba,01/maio - 31/maio,Sexta Domingo
Brasília,08:25,12:00,Ezeiza,01/maio - 31/maio,Domingo
Brasília,21:10,23:35,Florianópolis,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,08:50,11:25,Fortaleza,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,20:55,23:30,Fortaleza,01/maio - 31/maio,Sexta Domingo
Brasília,00:15,02:05,Galeão,01/maio - 31/maio,Quinta
Brasília,00:30,02:20,Galeão,01/maio - 31/maio,Segunda
Brasília,04:50,06:40,Galeão,01/maio - 31/maio,Domingo
Brasília,08:25,10:10,Galeão,01/maio - 31/maio,Sexta Sábado Domingo
Brasília,10:15,12:00,Galeão,01/maio - 31/maio,Terça Sexta Sábado Domingo
Brasília,15:50,17:35,Galeão,01/maio - 31/maio,Sexta Sábado Domingo Terça Quarta Sexta Sábado
Brasília,18:15,20:05,Galeão,01/maio - 31/maio,Domingo Segunda Terça Quarta Quinta
Brasília,20:45,22:35,Galeão,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,06:00,08:00,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,11:25,13:10,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo
Brasília,13:50,15:35,Guarulhos,01/maio - 31/maio,Domingo
Brasília,14:20,16:05,Guarulhos,01/maio - 31/maio,Sexta
Brasília,16:55,18:40,Guarulhos,01/maio - 31/maio,Sábado
Brasília,19:25,21:15,Guarulhos,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,20:45,22:35,Guarulhos,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,09:35,10:25,Goiânia,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,08:45,11:25,João Pessoa,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,23:10,01:20,Marabá,01/maio - 31/maio,Sexta Domingo
Brasília,08:40,10:55,Manaus,01/maio - 31/maio,Sábado
Brasília,08:55,10:55,Manaus,01/maio - 31/maio,Sexta Domingo
Brasília,20:35,22:30,Manaus,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Brasília,21:05,23:00,Manaus,01/maio - 31/maio,Terça Quinta
Brasília,09:40,17:05,Orlando,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
