is_best,cia,departure,arrival,duration,stops,price,origem (IATA),origem (ICAO),origem,destino (IATA),destino (ICAO),destino,distancia
True,Gol,"12:05 PM on Fri, Sep 19","2:10 PM on Fri, Sep 19",2 hr 5 min,0,1169,GYN,SBGO,Goiânia,SSA,SBSV,Salvador,1243.76
True,Gol,"12:00 PM on Fri, Sep 19","1:25 PM on Fri, Sep 19",1 hr 25 min,0,382,VIX,SBVT,Vitória,SSA,SBSV,Salvador,839.08
True,Gol,"9:00 AM on Fri, Sep 19","10:40 AM on Fri, Sep 19",1 hr 40 min,0,446,BSB,SBBR,Brasília,VCP,SBKP,Viracopos,794.44
True,Gol,"6:20 AM on Fri, Sep 19","8:25 AM on Fri, Sep 19",2 hr 5 min,0,535,VDC,SBQV,Vitória da Conquista,GRU,SBGR,Guarulhos,1117.02
True,Gol,"1:40 PM on Fri, Sep 19","2:45 PM on Fri, Sep 19",1 hr 5 min,0,274,ARU,SBAU,Araçatuba,CGH,SBSP,Congonhas,475.71
True,Gol,"12:25 PM on Fri, Sep 19","3:20 PM on Fri, Sep 19",2 hr 55 min,0,1631,EZE,SAEZ,Ezeiza,GIG,SBGL,Galeão,1994.98
True,Gol,"11:10 PM on Fri, Sep 19","1:20 AM on Sat, Sep 20",2 hr 10 min,0,557,BSB,SBBR,Brasília,MAB,SBMA,Marabá,1169.17
True,Gol,"6:45 PM on Fri, Sep 19","7:35 PM on Fri, Sep 19",50 min,0,955,GYN,SBGO,Goiânia,BSB,SBBR,Brasília,163.0
True,Gol,"1:15 PM on Fri, Sep 19","2:50 PM on Fri, Sep 19",1 hr 35 min,0,324,CGH,SBSP,Congonhas,XAP,SBCH,Chapecó,717.92
True,Gol,"2:55 PM on Fri, Sep 19","4:40 PM on Fri, Sep 19",1 hr 45 min,0,362,CGH,SBSP,Congonhas,MOC,SBMK,Montes Claros,821.31
True,Gol,"10:15 PM on Fri, Sep 19","1:55 AM on Sat, Sep 20",3 hr 40 min,0,854,GIG,SBGL,Galeão,BEL,SBBE,Belém,2436.88
True,Gol,"3:50 PM on Fri, Sep 19","5:50 PM on Fri, Sep 19",2 hr,0,728,GRU,SBGR,Guarulhos,IOS,SBIL,Ilhéus,1233.55
True,Gol,"5:20 PM on Fri, Sep 19","8:00 PM on Fri, Sep 19",1 hr 40 min,0,340,CGB,SBCY,Cuiabá,BSB,SBBR,Brasília,878.65
